192.168.24.12  overcloud.ctlplane.localdomain
30.30.30.138  overcloud.storage.localdomain
40.40.40.190  overcloud.storagemgmt.localdomain
100.100.102.136  overcloud.internalapi.localdomain
100.100.160.15  overcloud.localdomain
100.100.102.19 overcloud-controller-0.osp.com overcloud-controller-0
30.30.30.230 overcloud-controller-0.storage.osp.com overcloud-controller-0.storage
40.40.40.225 overcloud-controller-0.storagemgmt.osp.com overcloud-controller-0.storagemgmt
100.100.102.19 overcloud-controller-0.internalapi.osp.com overcloud-controller-0.internalapi
100.100.103.151 overcloud-controller-0.tenant.osp.com overcloud-controller-0.tenant
100.100.160.63 overcloud-controller-0.external.osp.com overcloud-controller-0.external
192.168.24.10 overcloud-controller-0.ctlplane.osp.com overcloud-controller-0.ctlplane

100.100.102.144 overcloud-compute-0.osp.com overcloud-compute-0
30.30.30.68 overcloud-compute-0.storage.osp.com overcloud-compute-0.storage
100.100.102.144 overcloud-compute-0.internalapi.osp.com overcloud-compute-0.internalapi
100.100.103.241 overcloud-compute-0.tenant.osp.com overcloud-compute-0.tenant
192.168.24.7 overcloud-compute-0.ctlplane.osp.com overcloud-compute-0.ctlplane
100.100.102.28 overcloud-compute-1.osp.com overcloud-compute-1
30.30.30.206 overcloud-compute-1.storage.osp.com overcloud-compute-1.storage
100.100.102.28 overcloud-compute-1.internalapi.osp.com overcloud-compute-1.internalapi
100.100.103.249 overcloud-compute-1.tenant.osp.com overcloud-compute-1.tenant
192.168.24.8 overcloud-compute-1.ctlplane.osp.com overcloud-compute-1.ctlplane
